id,name,user_type_id,language_id,product_id,question,correct_answer_id,quiz_id,answer_option,question_id
54,Zomato Gold - PT,3,2,1,O que significam os benefícios das bebidas?,4,2,option 2,14
55,Zomato Gold - PT,3,2,1,O que significam os benefícios das bebidas?,4,2,option 3,14
56,Zomato Gold - PT,3,2,1,O que significam os benefícios das bebidas?,4,2,option 4,14
57,Zomato Gold - PT,3,2,1,Posso aplicar mais de um desconto na minha compra de assinatura?,1,2,option 1,15
58,Zomato Gold - PT,3,2,1,Posso aplicar mais de um desconto na minha compra de assinatura?,1,2,option 2,15
59,Zomato Gold - PT,3,2,1,Posso aplicar mais de um desconto na minha compra de assinatura?,1,2,option 3,15
60,Zomato Gold - PT,3,2,1,Posso aplicar mais de um desconto na minha compra de assinatura?,1,2,option 4,15
61,Zomato Gold - PT,3,2,1,Posso combinar o Zomato Gold com outras ofertas?,2,2,option 1,16
62,Zomato Gold - PT,3,2,1,Posso combinar o Zomato Gold com outras ofertas?,2,2,option 2,16
63,Zomato Gold - PT,3,2,1,Posso combinar o Zomato Gold com outras ofertas?,2,2,option 3,16
64,Zomato Gold - PT,3,2,1,Posso combinar o Zomato Gold com outras ofertas?,2,2,option 4,16
65,Zomato Gold - PT,3,2,1,Quando os clientes devem ativa sua assinatura Gold?,3,2,option 1,17
66,Zomato Gold - PT,3,2,1,Quando os clientes devem ativa sua assinatura Gold?,3,2,option 2,17
67,Zomato Gold - PT,3,2,1,Quando os clientes devem ativa sua assinatura Gold?,3,2,option 3,17
68,Zomato Gold - PT,3,2,1,Quando os clientes devem ativa sua assinatura Gold?,3,2,option 4,17
69,Zomato Gold - PT,3,2,1,O Zomato Gold é válido em entregas ou entrega?,4,2,option 1,18
70,Zomato Gold - PT,3,2,1,O Zomato Gold é válido em entregas ou entrega?,4,2,option 2,18
71,Zomato Gold - PT,3,2,1,O Zomato Gold é válido em entregas ou entrega?,4,2,option 3,18
72,Zomato Gold - PT,3,2,1,O Zomato Gold é válido em entregas ou entrega?,4,2,option 4,18
73,Zomato Gold - PT,3,2,1,Os parceiros do restaurante podem mudar depois que eu compro a assinatura?,1,2,option 1,19
74,Zomato Gold - PT,3,2,1,Os parceiros do restaurante podem mudar depois que eu compro a assinatura?,1,2,option 2,19
75,Zomato Gold - PT,3,2,1,Os parceiros do restaurante podem mudar depois que eu compro a assinatura?,1,2,option 3,19
76,Zomato Gold - PT,3,2,1,Os parceiros do restaurante podem mudar depois que eu compro a assinatura?,1,2,option 4,19
77,Zomato Gold - PT,3,2,1,O que significam os benefícios em alimentos?,2,2,option 1,20
78,Zomato Gold - PT,3,2,1,O que significam os benefícios em alimentos?,2,2,option 2,20
79,Zomato Gold - PT,3,2,1,O que significam os benefícios em alimentos?,2,2,option 3,20
80,Zomato Gold - PT,3,2,1,O que significam os benefícios em alimentos?,2,2,option 4,20
81,Zomato Services,3,1,1,Question 1,1,3,option 1,21
82,Zomato Services,3,1,1,Question 1,1,3,option 2,21
83,Zomato Services,3,1,1,Question 1,1,3,option 3,21
84,Zomato Services,3,1,1,Question 1,1,3,option 4,21
85,Zomato Services,3,1,1,Question 2,2,3,option 1,22
86,Zomato Services,3,1,1,Question 2,2,3,option 2,22
87,Zomato Services,3,1,1,Question 2,2,3,option 3,22
88,Zomato Services,3,1,1,Question 2,2,3,option 4,22
89,Zomato Services,3,1,1,Question 3,3,3,option 1,23
90,Zomato Services,3,1,1,Question 3,3,3,option 2,23
91,Zomato Services,3,1,1,Question 3,3,3,option 3,23
92,Zomato Services,3,1,1,Question 3,3,3,option 4,23
93,Zomato Services,3,1,1,Question 4,4,3,option 1,24
94,Zomato Services,3,1,1,Question 4,4,3,option 2,24
95,Zomato Services,3,1,1,Question 4,4,3,option 3,24
96,Zomato Services,3,1,1,Question 4,4,3,option 4,24
97,Zomato Services,3,1,1,Question 5,1,3,option 1,25
98,Zomato Services,3,1,1,Question 5,1,3,option 2,25
99,Zomato Services,3,1,1,Question 5,1,3,option 3,25
100,Zomato Services,3,1,1,Question 5,1,3,option 4,25
101,Zomato Services,3,1,1,Question 6,2,3,option 1,26
102,Zomato Services,3,1,1,Question 6,2,3,option 2,26
103,Zomato Services,3,1,1,Question 6,2,3,option 3,26
104,Zomato Services,3,1,1,Question 6,2,3,option 4,26
105,Zomato Services,3,1,1,Question 7,3,3,option 1,27
106,Zomato Services,3,1,1,Question 7,3,3,option 2,27
107,Zomato Services,3,1,1,Question 7,3,3,option 3,27
108,Zomato Services,3,1,1,Question 7,3,3,option 4,27
109,Zomato Services,3,1,1,Question 8,4,3,option 1,28
110,Zomato Services,3,1,1,Question 8,4,3,option 2,28
111,Zomato Services,3,1,1,Question 8,4,3,option 3,28
112,Zomato Services,3,1,1,Question 8,4,3,option 4,28
113,Zomato Services,3,1,1,Question 9,1,3,option 1,29
114,Zomato Services,3,1,1,Question 9,1,3,option 2,29
115,Zomato Services,3,1,1,Question 9,1,3,option 3,29
116,Zomato Services,3,1,1,Question 9,1,3,option 4,29
117,Zomato Services,3,1,1,Question 10,2,3,option 1,30
118,Zomato Services,3,1,1,Question 10,2,3,option 2,30
119,Zomato Services,3,1,1,Question 10,2,3,option 3,30
120,Zomato Services,3,1,1,Question 10,2,3,option 4,30
121,Zomato - Serviços - PT,3,2,1,Question 1,1,4,option 1,31
122,Zomato - Serviços - PT,3,2,1,Question 1,1,4,option 2,31
123,Zomato - Serviços - PT,3,2,1,Question 1,1,4,option 3,31
124,Zomato - Serviços - PT,3,2,1,Question 1,1,4,option 4,31
125,Zomato - Serviços - PT,3,2,1,Question 2,2,4,option 1,32
126,Zomato - Serviços - PT,3,2,1,Question 2,2,4,option 2,32
127,Zomato - Serviços - PT,3,2,1,Question 2,2,4,option 3,32
128,Zomato - Serviços - PT,3,2,1,Question 2,2,4,option 4,32
129,Zomato - Serviços - PT,3,2,1,Question 3,3,4,option 1,33
130,Zomato - Serviços - PT,3,2,1,Question 3,3,4,option 2,33
131,Zomato - Serviços - PT,3,2,1,Question 3,3,4,option 3,33
132,Zomato - Serviços - PT,3,2,1,Question 3,3,4,option 4,33
133,Zomato - Serviços - PT,3,2,1,Question 4,4,4,option 1,34
134,Zomato - Serviços - PT,3,2,1,Question 4,4,4,option 2,34
135,Zomato - Serviços - PT,3,2,1,Question 4,4,4,option 3,34
136,Zomato - Serviços - PT,3,2,1,Question 4,4,4,option 4,34
137,Zomato - Serviços - PT,3,2,1,Question 5,1,4,option 1,35
138,Zomato - Serviços - PT,3,2,1,Question 5,1,4,option 2,35
139,Zomato - Serviços - PT,3,2,1,Question 5,1,4,option 3,35
140,Zomato - Serviços - PT,3,2,1,Question 5,1,4,option 4,35
141,Zomato - Serviços - PT,3,2,1,Question 6,2,4,option 1,36
142,Zomato - Serviços - PT,3,2,1,Question 6,2,4,option 2,36
143,Zomato - Serviços - PT,3,2,1,Question 6,2,4,option 3,36
144,Zomato - Serviços - PT,3,2,1,Question 6,2,4,option 4,36
145,Zomato - Serviços - PT,3,2,1,Question 7,3,4,option 1,37
146,Zomato - Serviços - PT,3,2,1,Question 7,3,4,option 2,37
147,Zomato - Serviços - PT,3,2,1,Question 7,3,4,option 3,37
148,Zomato - Serviços - PT,3,2,1,Question 7,3,4,option 4,37
149,Zomato - Serviços - PT,3,2,1,Question 8,4,4,option 1,38
150,Zomato - Serviços - PT,3,2,1,Question 8,4,4,option 2,38
151,Zomato - Serviços - PT,3,2,1,Question 8,4,4,option 3,38
152,Zomato - Serviços - PT,3,2,1,Question 8,4,4,option 4,38
153,Zomato - Serviços - PT,3,2,1,Question 9,1,4,option 1,39
154,Zomato - Serviços - PT,3,2,1,Question 9,1,4,option 2,39
155,Zomato - Serviços - PT,3,2,1,Question 9,1,4,option 3,39
156,Zomato - Serviços - PT,3,2,1,Question 9,1,4,option 4,39
157,Zomato - Serviços - PT,3,2,1,Question 10,2,4,option 1,40
158,Zomato - Serviços - PT,3,2,1,Question 10,2,4,option 2,40
159,Zomato - Serviços - PT,3,2,1,Question 10,2,4,option 3,40
160,Zomato - Serviços - PT,3,2,1,Question 10,2,4,option 4,40
161,Zomato - Foundations,3,1,1,Question 1,1,5,option 1,41
162,Zomato - Foundations,3,1,1,Question 1,1,5,option 2,41
163,Zomato - Foundations,3,1,1,Question 1,1,5,option 3,41
164,Zomato - Foundations,3,1,1,Question 1,1,5,option 4,41
165,Zomato - Foundations,3,1,1,Question 2,2,5,option 1,42
166,Zomato - Foundations,3,1,1,Question 2,2,5,option 2,42
167,Zomato - Foundations,3,1,1,Question 2,2,5,option 3,42
168,Zomato - Foundations,3,1,1,Question 2,2,5,option 4,42
169,Zomato - Foundations,3,1,1,Question 3,3,5,option 1,43
170,Zomato - Foundations,3,1,1,Question 3,3,5,option 2,43
171,Zomato - Foundations,3,1,1,Question 3,3,5,option 3,43
172,Zomato - Foundations,3,1,1,Question 3,3,5,option 4,43
173,Zomato - Foundations,3,1,1,Question 4,4,5,option 1,44
174,Zomato - Foundations,3,1,1,Question 4,4,5,option 2,44
175,Zomato - Foundations,3,1,1,Question 4,4,5,option 3,44
176,Zomato - Foundations,3,1,1,Question 4,4,5,option 4,44
177,Zomato - Foundations,3,1,1,Question 5,1,5,option 1,45
178,Zomato - Foundations,3,1,1,Question 5,1,5,option 2,45
179,Zomato - Foundations,3,1,1,Question 5,1,5,option 3,45
180,Zomato - Foundations,3,1,1,Question 5,1,5,option 4,45
181,Zomato - Foundations,3,1,1,Question 6,2,5,option 1,46
182,Zomato - Foundations,3,1,1,Question 6,2,5,option 2,46
183,Zomato - Foundations,3,1,1,Question 6,2,5,option 3,46
184,Zomato - Foundations,3,1,1,Question 6,2,5,option 4,46
185,Zomato - Foundations,3,1,1,Question 7,3,5,option 1,47
186,Zomato - Foundations,3,1,1,Question 7,3,5,option 2,47
187,Zomato - Foundations,3,1,1,Question 7,3,5,option 3,47
188,Zomato - Foundations,3,1,1,Question 7,3,5,option 4,47
189,Zomato - Foundations,3,1,1,Question 8,4,5,option 1,48
190,Zomato - Foundations,3,1,1,Question 8,4,5,option 2,48
191,Zomato - Foundations,3,1,1,Question 8,4,5,option 3,48
192,Zomato - Foundations,3,1,1,Question 8,4,5,option 4,48
193,Zomato - Foundations,3,1,1,Question 9,1,5,option 1,49
194,Zomato - Foundations,3,1,1,Question 9,1,5,option 2,49
195,Zomato - Foundations,3,1,1,Question 9,1,5,option 3,49
196,Zomato - Foundations,3,1,1,Question 9,1,5,option 4,49
197,Zomato - Foundations,3,1,1,Question 10,2,5,option 1,50
198,Zomato - Foundations,3,1,1,Question 10,2,5,option 2,50
199,Zomato - Foundations,3,1,1,Question 10,2,5,option 3,50
200,Zomato - Foundations,3,1,1,Question 10,2,5,option 4,50
201,Zomato - Fundações da Zomato - PT,3,2,1,Question 1,1,6,option 1,51
202,Zomato - Fundações da Zomato - PT,3,2,1,Question 1,1,6,option 2,51
203,Zomato - Fundações da Zomato - PT,3,2,1,Question 1,1,6,option 3,51
204,Zomato - Fundações da Zomato - PT,3,2,1,Question 1,1,6,option 4,51
205,Zomato - Fundações da Zomato - PT,3,2,1,Question 2,2,6,option 1,52
206,Zomato - Fundações da Zomato - PT,3,2,1,Question 2,2,6,option 2,52
207,Zomato - Fundações da Zomato - PT,3,2,1,Question 2,2,6,option 3,52
208,Zomato - Fundações da Zomato - PT,3,2,1,Question 2,2,6,option 4,52
209,Zomato - Fundações da Zomato - PT,3,2,1,Question 3,3,6,option 1,53
210,Zomato - Fundações da Zomato - PT,3,2,1,Question 3,3,6,option 2,53
211,Zomato - Fundações da Zomato - PT,3,2,1,Question 3,3,6,option 3,53
212,Zomato - Fundações da Zomato - PT,3,2,1,Question 3,3,6,option 4,53
213,Zomato - Fundações da Zomato - PT,3,2,1,Question 4,4,6,option 1,54
214,Zomato - Fundações da Zomato - PT,3,2,1,Question 4,4,6,option 2,54
215,Zomato - Fundações da Zomato - PT,3,2,1,Question 4,4,6,option 3,54
216,Zomato - Fundações da Zomato - PT,3,2,1,Question 4,4,6,option 4,54
217,Zomato - Fundações da Zomato - PT,3,2,1,Question 5,1,6,option 1,55
218,Zomato - Fundações da Zomato - PT,3,2,1,Question 5,1,6,option 2,55
219,Zomato - Fundações da Zomato - PT,3,2,1,Question 5,1,6,option 3,55
220,Zomato - Fundações da Zomato - PT,3,2,1,Question 5,1,6,option 4,55
221,Zomato - Fundações da Zomato - PT,3,2,1,Question 6,2,6,option 1,56
222,Zomato - Fundações da Zomato - PT,3,2,1,Question 6,2,6,option 2,56
223,Zomato - Fundações da Zomato - PT,3,2,1,Question 6,2,6,option 3,56
224,Zomato - Fundações da Zomato - PT,3,2,1,Question 6,2,6,option 4,56
225,Zomato - Fundações da Zomato - PT,3,2,1,Question 7,3,6,option 1,57
226,Zomato - Fundações da Zomato - PT,3,2,1,Question 7,3,6,option 2,57
227,Zomato - Fundações da Zomato - PT,3,2,1,Question 7,3,6,option 3,57
228,Zomato - Fundações da Zomato - PT,3,2,1,Question 7,3,6,option 4,57
229,Zomato - Fundações da Zomato - PT,3,2,1,Question 8,4,6,option 1,58
230,Zomato - Fundações da Zomato - PT,3,2,1,Question 8,4,6,option 2,58
231,Zomato - Fundações da Zomato - PT,3,2,1,Question 8,4,6,option 3,58
232,Zomato - Fundações da Zomato - PT,3,2,1,Question 8,4,6,option 4,58
233,Zomato - Fundações da Zomato - PT,3,2,1,Question 9,1,6,option 1,59
234,Zomato - Fundações da Zomato - PT,3,2,1,Question 9,1,6,option 2,59
235,Zomato - Fundações da Zomato - PT,3,2,1,Question 9,1,6,option 3,59
236,Zomato - Fundações da Zomato - PT,3,2,1,Question 9,1,6,option 4,59
237,Zomato - Fundações da Zomato - PT,3,2,1,Question 10,2,6,option 1,60
238,Zomato - Fundações da Zomato - PT,3,2,1,Question 10,2,6,option 2,60
239,Zomato - Fundações da Zomato - PT,3,2,1,Question 10,2,6,option 3,60
240,Zomato - Fundações da Zomato - PT,3,2,1,Question 10,2,6,option 4,60
241,Zomato - Employee Quiz,2,1,1,Question 1,1,7,option 1,61
242,Zomato - Employee Quiz,2,1,1,Question 1,1,7,option 2,61
243,Zomato - Employee Quiz,2,1,1,Question 1,1,7,option 3,61
244,Zomato - Employee Quiz,2,1,1,Question 1,1,7,option 4,61
245,Zomato - Employee Quiz,2,1,1,Question 2,2,7,option 1,62
246,Zomato - Employee Quiz,2,1,1,Question 2,2,7,option 2,62
247,Zomato - Employee Quiz,2,1,1,Question 2,2,7,option 3,62
248,Zomato - Employee Quiz,2,1,1,Question 2,2,7,option 4,62
249,Zomato - Employee Quiz,2,1,1,Question 3,3,7,option 1,63
250,Zomato - Employee Quiz,2,1,1,Question 3,3,7,option 2,63
251,Zomato - Employee Quiz,2,1,1,Question 3,3,7,option 3,63
252,Zomato - Employee Quiz,2,1,1,Question 3,3,7,option 4,63
253,Zomato - Employee Quiz,2,1,1,Question 4,4,7,option 1,64
254,Zomato - Employee Quiz,2,1,1,Question 4,4,7,option 2,64
255,Zomato - Employee Quiz,2,1,1,Question 4,4,7,option 3,64
256,Zomato - Employee Quiz,2,1,1,Question 4,4,7,option 4,64
257,Zomato - Employee Quiz,2,1,1,Question 5,1,7,option 1,65
258,Zomato - Employee Quiz,2,1,1,Question 5,1,7,option 2,65
259,Zomato - Employee Quiz,2,1,1,Question 5,1,7,option 3,65
260,Zomato - Employee Quiz,2,1,1,Question 5,1,7,option 4,65
261,Zomato - Employee Quiz,2,1,1,Question 6,2,7,option 1,66
262,Zomato - Employee Quiz,2,1,1,Question 6,2,7,option 2,66
263,Zomato - Employee Quiz,2,1,1,Question 6,2,7,option 3,66
264,Zomato - Employee Quiz,2,1,1,Question 6,2,7,option 4,66
265,Zomato - Employee Quiz,2,1,1,Question 7,3,7,option 1,67
266,Zomato - Employee Quiz,2,1,1,Question 7,3,7,option 2,67
267,Zomato - Employee Quiz,2,1,1,Question 7,3,7,option 3,67
268,Zomato - Employee Quiz,2,1,1,Question 7,3,7,option 4,67
269,Zomato - Employee Quiz,2,1,1,Question 8,4,7,option 1,68
270,Zomato - Employee Quiz,2,1,1,Question 8,4,7,option 2,68
271,Zomato - Employee Quiz,2,1,1,Question 8,4,7,option 3,68
272,Zomato - Employee Quiz,2,1,1,Question 8,4,7,option 4,68
273,Zomato - Employee Quiz,2,1,1,Question 9,1,7,option 1,69
274,Zomato - Employee Quiz,2,1,1,Question 9,1,7,option 2,69
275,Zomato - Employee Quiz,2,1,1,Question 9,1,7,option 3,69
276,Zomato - Employee Quiz,2,1,1,Question 9,1,7,option 4,69
277,Zomato - Employee Quiz,2,1,1,Question 10,2,7,option 1,70
278,Zomato - Employee Quiz,2,1,1,Question 10,2,7,option 2,70
279,Zomato - Employee Quiz,2,1,1,Question 10,2,7,option 3,70
280,Zomato - Employee Quiz,2,1,1,Question 10,2,7,option 4,70
321,Zomato - Employee Quiz,2,1,1,Question 10,2,7,option 1,70
322,Zomato - Employee Quiz,2,1,1,Question 10,2,7,option 2,70
323,Zomato - Employee Quiz,2,1,1,Question 10,2,7,option 3,70
324,Zomato - Employee Quiz,2,1,1,Question 10,2,7,option 4,70
